"cullalignx","cullaligny"
-0.022232398,0.2
-0.047236887,0.4
0.017440655,0.6
-0.08952295,0.8
-0.005918579,1
-0.005918579,1.2
-0.005918579,1.4
-0.005918579,1.6
-0.005918579,1.8
-0.005918579,2
-0.005918579,2.2
-0.005918579,2.4
-0.005918579,2.6
-0.005918579,2.8
-0.005918579,3
-0.005918579,3.2
-0.005918579,3.4
-0.005918579,3.6
-0.005918579,3.8
-0.005918579,4
-0.005918579,4.2
-0.005918579,4.4
-0.005918579,4.6
-0.005918579,4.8
-0.005918579,5
-0.005918579,5.2
-0.005918579,5.4
-0.005918579,5.6
-0.005918579,5.8
-0.005918579,6
-0.005918579,6.2
-0.005918579,6.4
-0.005918579,6.6
-0.005918579,6.8
-0.005918579,7
-0.005918579,7.2
-0.005918579,7.4
-0.005918579,7.6
-0.005918579,7.8
-0.005918579,8
-0.005918579,8.2
-0.005918579,8.4
-0.005918579,8.6
-0.10940714,8.8
0.097986863,9
-0.042399204,9.2
0.032684071,9.4
-0.061421586,9.6
0.058318246,9.8
0.135161541,10
-0.863793155,10.2
-0.863793155,10.4
-0.863793155,10.6
-4.006455984,11
-4.006455984,11.2
-4.006455984,11.4
-4.006455984,11.6
-4.832593921,12
-4.832593921,12.2
-4.832593921,12.4
-4.832593921,12.6
-4.832593921,12.8
-4.832593921,13
-4.832593921,13.2
-4.832593921,13.4
-4.832593921,13.6
-4.354471859,14
-4.354471859,14.2
-4.354471859,14.4
-4.354471859,14.6
-4.354471859,14.8
-4.354471859,15
-4.107583252,15
-4.107583252,15.2
-4.107583252,15.4
-4.107583252,15.6
-4.107583252,15.8
-4.107583252,16
-4.107583252,16.2
-3.757605795,16.4
-3.757605795,16.6
-3.757605795,16.8
-3.757605795,17
-3.757605795,17.2
-3.757605795,17.4
-3.757605795,17.6
-3.757605795,17.8
-3.297402804,18.2
-3.297402804,18.4
-3.297402804,18.6
-3.297402804,18.8
-3.297402804,19
-3.207941864,19
-3.207941864,19.2
-3.212548661,19.2
-3.212548661,19.4
-3.212548661,19.6
-2.960873362,19.6
-2.960873362,19.8
-2.960873362,20
-2.960873362,20.2
-2.944040416,20.2
-2.944040416,20.4
-2.944040416,20.6
-2.944040416,20.8
-2.944040416,21
-2.490650585,21.2
-2.546005945,21.4
-2.546005945,21.6
-2.546005945,21.8
-2.546005945,22
-2.546005945,22.2
-2.295878943,22.2
-2.393447541,22.2
-2.393447541,22.4
-2.393447541,22.6
-2.393447541,22.8
-2.199276002,22.8
-2.199276002,23
-2.199276002,23.2
-2.199276002,23.4
-2.120499254,23.4
-2.120499254,23.6
-2.120499254,23.8
-2.120499254,24
-1.660079624,24.2
-1.821741595,24.4
-1.821741595,24.6
-1.821741595,24.8
-1.821741595,25
-1.665217449,25
-1.665217449,25.2
-1.665217449,25.4
-1.665217449,25.6
-1.665217449,25.8
-1.665217449,26
-1.665217449,26.2
-1.053845851,26.6
-1.053845851,26.8
-1.053845851,27
-1.053845851,27.2
-1.053845851,27.4
-1.053845851,27.6
-1.053845851,27.8
-1.053845851,28
-1.053845851,28.2
-1.053845851,28.4
-1.053845851,28.6
-1.053845851,28.8
-1.053845851,29
-1.053845851,29.2
-1.053845851,29.4
-1.053845851,29.6
-0.040728015,30
-0.040728015,30.2
-0.040728015,30.4
-0.040728015,30.6
-0.040728015,30.8
-0.040728015,31
-0.040728015,31.2
-0.040728015,31.4
-0.040728015,31.6
-0.040728015,31.8
-0.040728015,32
0.132096952,32
0.066010417,32
0.025784074,32
-0.091014269,32
0.022675584,32
0.022675584,32.2
0.022675584,32.4
0.022675584,32.6
0.022675584,32.8
0.022675584,33
0.022675584,33.2
0.022675584,33.4
0.022675584,33.6
0.022675584,33.8
0.022675584,34
0.022675584,34.2
0.022675584,34.4
0.022675584,34.6
0.022675584,34.8
0.022675584,35
0.022675584,35.2
0.022675584,35.4
0.022675584,35.6
0.022675584,35.8
0.022675584,36
0.022675584,36.2
0.022675584,36.4
0.022675584,36.6
0.022675584,36.8
0.022675584,37
0.022675584,37.2
0.022675584,37.4
0.022675584,37.6
0.022675584,37.8
0.022675584,38
0.022675584,38.2
0.022675584,38.4
0.022675584,38.6
0.022675584,38.8
0.022675584,39
0.022675584,39.2
0.022675584,39.4
0.022675584,39.6
0.022675584,39.8
0.022675584,40
0.04488338,40
0.04488338,40.2
0.097191002,40.4
-0.723661326,40.6
-0.723661326,40.8
-0.723661326,41
-0.723661326,41.2
-0.723661326,41.4
-0.723661326,41.6
-0.723661326,41.8
-0.723661326,42
0.033720846,42.2
-0.005745546,42.4
-0.005745546,42.6
-0.005745546,42.8
-0.005745546,43
-0.005745546,43.2
-0.005745546,43.4
-0.005745546,43.6
-0.005745546,43.8
-0.005745546,44
-0.005745546,44.2
-0.005745546,44.4
-0.005745546,44.6
-0.005745546,44.8
-0.005745546,45
-0.005745546,45.2
-0.005745546,45.4
-0.005745546,45.6
-0.005745546,45.8
-0.005745546,46
-0.005745546,46.2
-0.005745546,46.4
-0.005745546,46.6
-0.005745546,46.8
-0.005745546,47
-0.005745546,47.2
-0.005745546,47.4
-0.005745546,47.6
-0.005745546,47.8
-0.005745546,48
-0.005745546,48.2
-0.005745546,48.4
-0.005745546,48.6
-0.005745546,48.8
-0.005745546,49
-0.005745546,49.2
-0.005745546,49.4
-0.005745546,49.6
-0.005745546,49.8
-0.005745546,50
-0.135534084,50.2417475728155
-0.070937099,52.1757281553398
-0.1033762,53.626213592233
-0.141114643,54.1097087378641
0.003158193,56.2854368932039
